id,cache_key,query_id,route_id,prompt_version,model_version,prediction,reference,exact_match,lenient_em,token_f1,judge_score,judge_model,tokens_in,tokens_out,gpu_seconds,concurrency,cloud_spend_usd,amortized_usd,latency_ms_total,latency_ms_retrieval,latency_ms_llm,latency_ms_verify,git_sha,config_hash,created_at,generator_mode,retrieval_mode,temperature,seed
1,84051351d849dbd3ef7bee7cba8d9e02a34afe8ec8819a9c56e1d9c50f426741,nq:0000,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,Mitochondria are located in the cells of eukaryotic organisms.,mitochondria,0,0,0.2222222222222222,,judge-stub/unwired,12,15,0.7826616340000783,1,0.0,7.609210330556316e-05,791.683406995844,9.021772995765787,782.6616340000783,0.0,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:10:33.216546+00:00,measured,measured,0.0,0
2,03b04882b97cf3400e943d9ccf96ca4e4c71195ad0a730228f4ab4fecff44ba1,nq:0000,L1,v1,Qwen/Qwen2.5-1.5B-Instruct,Mitochondria are located in eukaryotic cells.,mitochondria,0,0,0.2857142857142857,,judge-stub/unwired,100,12,0.6905129520000628,1,0.0,6.713320366667277e-05,695.2326529990387,4.719700998975895,690.5129520000628,0.0,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:10:34.173774+00:00,measured,measured,0.0,0
5,88989c00d51d38746ab7e3c937feb77b7d13a34e0142b5f0913c40ad3ab3e1e8,nq:0000,C0,v1,ollama-llama3.1-8b,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,80,41,2.6305882352941174,1,0.0,0.0002557516339869281,2669.862638960477,8.607736999692861,2630.5882352941176,30.666666666666668,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:10:55.903289+00:00,stub,measured,0.0,0
6,ad7dde7802e8ec8bf6526471e3d218bfb98070831ce41baecdaec9ea7f9def01,nq:0000,C1,v1,gpt-4o-mini,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,195,47,0.0,1,5.745e-05,0.0,1807.9285191783806,8.57557800190989,1787.450980392157,11.901960784313726,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:10:55.927003+00:00,stub,measured,0.0,0
7,1646cf96baae75fc072797330742485f02833fb94fc6ff0486b4d67baaaf443e,nq:0000,C2,v1,gpt-4o-mini,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,141,23,0.0,1,3.4949999999999996e-05,0.0,2179.4401370769456,7.9499409985146485,2166.2745098039213,5.215686274509804,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:10:56.009822+00:00,stub,measured,0.0,0
8,4eb8a866823466ac64a44a1cf5effa6037ccffcfbbfb070a59ea54d4524fd51c,nq:0000,C3,v1,gpt-4o,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,91,8,0.0,1,0.0003075,0.0,1353.4958865674687,10.691964998841286,1327.450980392157,15.352941176470589,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:10:56.031663+00:00,stub,measured,0.0,0
9,408b2694a4ddc835258faa77dff829b02a72841d77a64c73bb07693804d2d30d,nq:0000,C4,v1,gpt-4o,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,197,15,0.0,1,0.0006425,0.0,2369.529672730722,5.745359005231876,2337.6470588235293,26.137254901960784,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:10:56.116213+00:00,stub,measured,0.0,0
10,8db10fe4310cd48972f83a558b9fd4ad86e68f4f4c50bbf48846d1aca5cd84cb,nq:0001,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,Niels Bohr and Werner Heisenberg are credited with discovering quantum mechanics.,quantum mechanics,0,0,0.3076923076923077,,judge-stub/unwired,12,16,0.8177767380000205,1,0.0,7.950607175000198e-05,826.663880001206,8.887142001185566,817.7767380000205,0.0,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:10:57.238975+00:00,measured,measured,0.0,0
11,fb0bba41bc783cb5961259383276063d8d80710247b89229f22d7cb1001cfb60,nq:0001,L1,v1,Qwen/Qwen2.5-1.5B-Instruct,"None of the passages provide information about who discovered quantum mechanics. The passages state that quantum mechanics is described by a theory, but do not mention any discoverer or originator. Therefore, there is no specific individual credited as the discoverer of quantum mechanics in these passages. 

None of the provided passages offer details regarding who discovered quantum mechanics. These passages simply state that quantum mechanics is described by a well-documented theory without attributing it to any particular individual. Thus, none of the given statements can be used to identify the discoverer of quantum mechanics.",quantum mechanics,0,0,0.0449438202247191,,judge-stub/unwired,109,111,5.072116651999977,1,0.0,0.0004931224522777755,5076.5413090032325,4.424657003255561,5072.116651999977,0.0,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:11:02.568922+00:00,measured,measured,0.0,0
12,2ccfdc323d61dff3b63139c3beaa98c0badd6b4dac702f71ba4fa252b29b5f09,nq:0001,C0,v1,ollama-llama3.1-8b,quantum,quantum mechanics,0,0,0.6666666666666666,,judge-stub/unwired,102,24,1.712941176470588,1,0.0,0.00016653594771241827,1768.6260901527082,11.645697995845694,1712.941176470588,44.03921568627451,7c72e8202ba81a7cb903fdfa361bc6a7f7fda1f1,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:11:02.597717+00:00,stub,measured,0.0,0
