id,cache_key,query_id,route_id,prompt_version,model_version,prediction,reference,exact_match,lenient_em,token_f1,judge_score,judge_model,tokens_in,tokens_out,gpu_seconds,concurrency,cloud_spend_usd,amortized_usd,latency_ms_total,latency_ms_retrieval,latency_ms_llm,latency_ms_verify,git_sha,config_hash,created_at
1,64ab5ea56ec3abfdcf051f1847593422317cd4cc27d30a2277fcaefbdaa3aac0,nq:0000,L0,v1,ollama-qwen2.5-3b,I don't know,mitochondria,0,0,0.0,,judge-stub/unwired,143,27,3.9717647058823533,1,0.0,0.00038614379084967327,4032.9830822751314,8.767396000621375,3971.764705882353,52.450980392156865,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:16.940505+00:00
2,f9e05939a3207546797168687238a294cb66843493b86cb97fb419663c35522d,nq:0000,L1,v1,ollama-qwen2.5-3b,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,183,37,0.6541176470588236,1,0.0,6.359477124183006e-05,703.4157180793677,8.925522000936326,654.1176470588235,40.372549019607845,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:16.960283+00:00
3,88989c00d51d38746ab7e3c937feb77b7d13a34e0142b5f0913c40ad3ab3e1e8,nq:0000,C0,v1,ollama-llama3.1-8b,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,80,41,2.6305882352941174,1,0.0,0.0002557516339869281,2666.0532409603193,4.79833899953519,2630.5882352941176,30.666666666666668,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:16.976080+00:00
4,ad7dde7802e8ec8bf6526471e3d218bfb98070831ce41baecdaec9ea7f9def01,nq:0000,C1,v1,gpt-4o-mini,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,195,47,0.0,1,5.745e-05,0.0,1804.1746461753742,4.821704998903442,1787.450980392157,11.901960784313726,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:16.991289+00:00
5,1646cf96baae75fc072797330742485f02833fb94fc6ff0486b4d67baaaf443e,nq:0000,C2,v1,gpt-4o-mini,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,141,23,0.0,1,3.4949999999999996e-05,0.0,2179.9150990789904,8.424903000559425,2166.2745098039213,5.215686274509804,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:17.010381+00:00
6,4eb8a866823466ac64a44a1cf5effa6037ccffcfbbfb070a59ea54d4524fd51c,nq:0000,C3,v1,gpt-4o,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,91,8,0.0,1,0.0003075,0.0,1350.979956568988,8.17603500036057,1327.450980392157,15.352941176470589,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:17.031311+00:00
7,408b2694a4ddc835258faa77dff829b02a72841d77a64c73bb07693804d2d30d,nq:0000,C4,v1,gpt-4o,mitochondria,mitochondria,1,1,1.0,,judge-stub/unwired,197,15,0.0,1,0.0006425,0.0,2370.263594726283,6.47928100079298,2337.6470588235293,26.137254901960784,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:17.049452+00:00
8,5fa0aab2d160f796b07506d6927303456bd98df2e7c3d9399a272d5385ddbbcb,nq:0001,L0,v1,ollama-qwen2.5-3b,quantum mechanics,quantum mechanics,1,1,1.0,,judge-stub/unwired,84,18,2.1505882352941175,1,0.0,0.00020908496732026141,2178.7186024104763,8.89507299871184,2150.5882352941176,19.235294117647058,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:17.069848+00:00
9,7f1162fab7dacaa17705b938789cd0ccd4a6a08b0937c70123fc05dfaf21b663,nq:0001,L1,v1,ollama-qwen2.5-3b,quantum mechanics,quantum mechanics,1,1,1.0,,judge-stub/unwired,148,11,2.4752941176470586,1,0.0,0.0002406535947712418,2517.9552871955034,4.229796999425162,2475.2941176470586,38.431372549019606,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:17.086360+00:00
10,2ccfdc323d61dff3b63139c3beaa98c0badd6b4dac702f71ba4fa252b29b5f09,nq:0001,C0,v1,ollama-llama3.1-8b,quantum,quantum mechanics,0,0,0.6666666666666666,,judge-stub/unwired,102,24,1.712941176470588,1,0.0,0.00016653594771241827,1761.1905371549317,4.210144998069154,1712.941176470588,44.03921568627451,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:17.102854+00:00
11,d14d1ca39235286af707ed97db7a114c61d7cb2ab4ad225fb468339c95fc3cfd,nq:0001,C1,v1,gpt-4o-mini,quantum mechanics,quantum mechanics,1,1,1.0,,judge-stub/unwired,116,13,0.0,1,2.52e-05,0.0,417.32586364876926,9.031746001710417,371.37254901960785,36.92156862745098,0e6ef6e6ffe9ad0d703b85ff0e102b06ef272a73,5b2462787c8c3ad73ecde552fa27b904d65b2d9b1e1cd5aa80def9c04f49f649,2026-09-19T12:05:17.122036+00:00
