query_id,route_id,model_version,tokens_in,tokens_out,token_f1,cloud_spend_usd,amortized_usd
hotpotqa:0000,C0,ollama-llama3.1-8b,115,43,1.0,0.0,0.00013222222222222221
hotpotqa:0000,C1,gpt-4o-mini,162,28,1.0,4.11e-05,0.0
hotpotqa:0000,C2,gpt-4o-mini,177,9,1.0,3.1950000000000004e-05,0.0
hotpotqa:0000,C3,gpt-4o,127,21,1.0,0.0005275,0.0
hotpotqa:0000,C4,gpt-4o,112,13,1.0,0.00041,0.0
hotpotqa:0000,L0,ollama-qwen2.5-3b,150,20,1.0,0.0,0.00031751633986928105
hotpotqa:0000,L1,ollama-qwen2.5-3b,198,20,1.0,0.0,0.00025163398692810453
hotpotqa:0001,C0,ollama-llama3.1-8b,83,12,1.0,0.0,0.00012947712418300656
hotpotqa:0001,C1,gpt-4o-mini,185,25,1.0,4.275e-05,0.0
hotpotqa:0001,C2,gpt-4o-mini,153,36,1.0,4.455e-05,0.0
hotpotqa:0001,C3,gpt-4o,175,16,1.0,0.0005975,0.0
hotpotqa:0001,C4,gpt-4o,111,40,1.0,0.0006775,0.0
hotpotqa:0001,L0,ollama-qwen2.5-3b,120,24,1.0,0.0,0.00038888888888888887
hotpotqa:0001,L1,ollama-qwen2.5-3b,184,10,1.0,0.0,0.000265359477124183
hotpotqa:0002,C0,ollama-llama3.1-8b,187,19,0.6666666666666666,0.0,5.947712418300653e-05
hotpotqa:0002,C1,gpt-4o-mini,82,46,1.0,3.9899999999999994e-05,0.0
hotpotqa:0002,C2,gpt-4o-mini,175,47,1.0,5.4449999999999995e-05,0.0
hotpotqa:0002,C3,gpt-4o,141,21,1.0,0.0005625000000000001,0.0
hotpotqa:0002,C4,gpt-4o,113,37,1.0,0.0006525,0.0
hotpotqa:0002,L0,ollama-qwen2.5-3b,155,38,0.0,0.0,0.00027633986928104576
hotpotqa:0002,L1,ollama-qwen2.5-3b,82,33,1.0,0.0,0.00027771241830065356
hotpotqa:0003,C0,ollama-llama3.1-8b,156,19,1.0,0.0,0.00028457516339869276
hotpotqa:0003,C1,gpt-4o-mini,191,37,1.0,5.085e-05,0.0
hotpotqa:0003,C2,gpt-4o-mini,84,35,1.0,3.36e-05,0.0
hotpotqa:0003,C3,gpt-4o,128,16,1.0,0.00048000000000000007,0.0
hotpotqa:0003,C4,gpt-4o,164,12,1.0,0.00053,0.0
hotpotqa:0003,L0,ollama-qwen2.5-3b,83,42,0.0,0.0,5.1241830065359464e-05
hotpotqa:0003,L1,ollama-qwen2.5-3b,163,28,1.0,0.0,0.00028869281045751637
hotpotqa:0004,C0,ollama-llama3.1-8b,117,39,1.0,0.0,4.4379084967320265e-05
hotpotqa:0004,C1,gpt-4o-mini,134,22,1.0,3.3299999999999996e-05,0.0
hotpotqa:0004,C2,gpt-4o-mini,199,30,1.0,4.785e-05,0.0
hotpotqa:0004,C3,gpt-4o,106,16,1.0,0.00042500000000000003,0.0
hotpotqa:0004,C4,gpt-4o,87,22,1.0,0.0004375,0.0
hotpotqa:0004,L0,ollama-qwen2.5-3b,120,29,1.0,0.0,0.000265359477124183
hotpotqa:0004,L1,ollama-qwen2.5-3b,113,32,1.0,0.0,0.0003586928104575163
nq:0000,C0,ollama-llama3.1-8b,80,41,1.0,0.0,0.0002557516339869281
nq:0000,C1,gpt-4o-mini,195,47,1.0,5.745e-05,0.0
nq:0000,C2,gpt-4o-mini,141,23,1.0,3.4949999999999996e-05,0.0
nq:0000,C3,gpt-4o,91,8,1.0,0.0003075,0.0
nq:0000,C4,gpt-4o,197,15,1.0,0.0006425,0.0
nq:0000,L0,ollama-qwen2.5-3b,143,27,0.0,0.0,0.00038614379084967327
nq:0000,L1,ollama-qwen2.5-3b,183,37,1.0,0.0,6.359477124183006e-05
nq:0001,C0,ollama-llama3.1-8b,102,24,0.6666666666666666,0.0,0.00016653594771241827
nq:0001,C1,gpt-4o-mini,116,13,1.0,2.52e-05,0.0
nq:0001,C2,gpt-4o-mini,129,10,1.0,2.535e-05,0.0
nq:0001,C3,gpt-4o,129,39,1.0,0.0007125,0.0
