id,cache_key,repeat_idx,query_id,route_id,prompt_version,model_version,prediction,reference,exact_match,lenient_em,token_f1,judge_score,judge_model,tokens_in,tokens_out,gpu_seconds,concurrency,cloud_spend_usd,amortized_usd,latency_ms_total,latency_ms_retrieval,latency_ms_llm,latency_ms_verify,git_sha,config_hash,created_at,generator_mode,retrieval_mode,temperature,seed
1,c36454d4132a3038240bed3dcbc394ce1d8a71f2625acedbcaed6687d38bd6c2,0,hotpotqa:0000,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,The Industrial Revolution directly followed the Renaissance.,Industrial Revolution,0,0,0.5714285714285715,,judge-stub/unwired,15,8,0.3740757430005033,1,0.0,3.636847501393781e-05,380.8096770026168,6.7339340021135285,374.0757430005033,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:50:55.501327+00:00,measured,measured,0.0,0
2,1352954969dfcb38ec1be721f16a73777f7120ea42afd5b17c5cd1511fe49055,1,hotpotqa:0000,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,The Industrial Revolution directly followed the Renaissance.,Industrial Revolution,0,0,0.5714285714285715,,judge-stub/unwired,15,8,0.3751401910003551,1,0.0,3.647196301392341e-05,379.4071550028093,4.266964002454188,375.1401910003551,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:50:56.131649+00:00,measured,measured,0.0,0
3,1b2fde0136c9e90a7cc84fc49544b4de4a14ae52bb0c22c62bae6643f0714a93,2,hotpotqa:0000,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,The Industrial Revolution was a result of advancements during the Renaissance.,Industrial Revolution,0,0,0.4,,judge-stub/unwired,15,12,0.5348690529999658,1,0.0,5.200115793055222e-05,541.287024999292,6.417971999326255,534.8690529999658,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:50:56.934348+00:00,measured,measured,0.0,0
4,92ffd23a930745b461f95fe5a1193801126c04a562ec5cdd32ed57f613b0dc1e,0,hotpotqa:0001,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"The Great Wall of China is older than DNA. It was built over thousands of years, while DNA is a molecular structure that has existed for billions of years.",DNA,0,0,0.07142857142857142,,judge-stub/unwired,20,32,1.3007661370002097,1,0.0,0.00012646337443057593,1305.24820699884,4.4820699986303225,1300.7661370002097,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:50:58.513117+00:00,measured,measured,0.0,0
5,01902ed7154fa2f471ffa89468f4b0f672c5c12d2fe4b4719ff3803bdb761bb7,1,hotpotqa:0001,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"The Great Wall of China is older than DNA. It was built around 221 BC, while DNA was discovered in 1869.",DNA,0,0,0.09523809523809523,,judge-stub/unwired,20,31,1.250757853000323,1,0.0,0.00012160145793058694,1255.3661739966628,4.608320996339899,1250.757853000323,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:00.017723+00:00,measured,measured,0.0,0
6,ab4e3f0d91f775b16f4fc71d746d463cd45ae0d4431304865478e9c62a24b3ff,2,hotpotqa:0001,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"The Great Wall of China came first, as it is a physical structure built over thousands of years, while DNA is an abstract molecule found within living organisms.",DNA,0,0,0.07692307692307693,,judge-stub/unwired,20,31,1.280337535000399,1,0.0,0.000124477260347261,1288.2461310027793,7.908596002380364,1280.337535000399,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:01.568472+00:00,measured,measured,0.0,0
7,93c4b75001a9f98bca98f1fed6950d39d929089e4808ce2ad65cfb727bf864d3,0,hotpotqa:0002,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"The connection between neural networks and Mount Everest is not directly historical but relates to a scientific metaphor. Neural networks are computational models inspired by the human brain, often used in artificial intelligence applications. This concept has been applied metaphorically to describe the complex processes involved in reaching the top of Mount Everest, such as overcoming challenges, pushing limits, and achieving success through perseverance and innovation, much like how neurons transmit information across vast distances within the brain. Thus, while there isn't a direct historical link, this metaphor highlights the parallels between cognitive functions in the brain and the achievement of high-altitude goals.",neural networks,0,0,0.041237113402061855,,judge-stub/unwired,16,118,5.515163460999247,1,0.0,0.000536196447597149,5526.7257430004975,11.562282001250423,5515.163460999247,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:07.347058+00:00,measured,measured,0.0,0
8,b83f6989e989908dea355998db9334f51a31ea56a0298547c5b9de701c12381d,1,hotpotqa:0002,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,Mountaineering expeditions.,neural networks,0,0,0.0,,judge-stub/unwired,16,6,0.2869543289998546,1,0.0,2.789833754165253e-05,292.1746560023166,5.220327002462,286.9543289998546,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:07.887508+00:00,measured,measured,0.0,0
9,2ccaa494543fd5028d8a9bbbba2fa762a4677fc592464cc4988d5b2667add77a,2,hotpotqa:0002,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,Mountaineering expeditions.,neural networks,0,0,0.0,,judge-stub/unwired,16,6,0.2867531689998941,1,0.0,2.787878031943415e-05,294.7778259995175,8.024656999623403,286.7531689998941,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:08.431900+00:00,measured,measured,0.0,0
10,53ce3e39cc76fe3d8086c3fbe2197323847720cda9793e45bb2390572bbd2bdc,0,hotpotqa:0003,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"DNA came before World War II. The genetic code was discovered in 1953, long before the conflict began in 1939.",World War II,0,0,0.2857142857142857,,judge-stub/unwired,19,31,1.284139057000175,1,0.0,0.0001248468527639059,1288.6754900000597,4.53643299988471,1284.139057000175,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:09.991603+00:00,measured,measured,0.0,0
11,a7b8bcbd725b5888b9a2b42212065971cc47c2e258aae01a7242bd27d97591f4,1,hotpotqa:0003,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"DNA came before World War II. It was discovered in 1869 by Frederick Gowland Hopkins, while WWII began in 1939.",World War II,0,0,0.2608695652173913,,judge-stub/unwired,19,32,1.3463537759998871,1,0.0,0.00013089550599998902,1355.0290080056584,8.67523200577125,1346.3537759998871,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:11.608849+00:00,measured,measured,0.0,0
12,172b1c68504025b99f72de85f698a9763264b8185f1921e808a546ed1d3af082,2,hotpotqa:0003,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"DNA came before World War II. DNA was discovered in 1953, while World War II ended in 1945.",World War II,0,0,0.2857142857142857,,judge-stub/unwired,19,29,1.210180207999656,1,0.0,0.00011765640911107767,1214.9433820013655,4.763174001709558,1210.180207999656,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:13.061244+00:00,measured,measured,0.0,0
13,5cd1aca8643d1253fa5490c8439f35501d04d0326dfeef48193a85de4da0edf6,0,hotpotqa:0004,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"The Great Wall of China was built much earlier, predating World War II by several centuries.",Great Wall of China,0,0,0.4210526315789474,,judge-stub/unwired,22,19,0.8025235219993192,1,0.0,7.802312019437825e-05,807.4305009959062,4.906978996586986,802.5235219993192,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:14.133427+00:00,measured,measured,0.0,0
14,5759a711b1ca7f790bd2c2c4b4e8143d26cc16f92f4d64124343267dd2c4ce35,1,hotpotqa:0004,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"The Great Wall of China predates World War II. It was built over several centuries starting in the 7th century BC, while WWII began in 1939.",Great Wall of China,0,0,0.2857142857142857,,judge-stub/unwired,22,36,1.5208147159992222,1,0.0,0.00014785698627770214,1526.3597670036688,5.545051004446577,1520.8147159992222,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:15.916423+00:00,measured,measured,0.0,0
15,f795eb3d92ee233753412e6189b6d0af2c64cffaa288dd86c9db3f5d87a666a4,2,hotpotqa:0004,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"The Great Wall of China was built much earlier than World War II, predating it by several centuries.",Great Wall of China,0,0,0.38095238095238093,,judge-stub/unwired,22,21,1.1357953510005245,1,0.0,0.00011042454801393988,1141.4488729997174,5.65352199919289,1135.7953510005245,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:17.299487+00:00,measured,measured,0.0,0
16,269ff30aee44ab35eab613af3865d17e3c3faa9466fe84b719db44dbe95ab081,0,hotpotqa:0005,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,"The connection between the Industrial Revolution and quantum mechanics is not directly historical, but both were developed in parallel during the 19th century. Quantum mechanics emerged as a theory of atomic and subatomic phenomena, while the Industrial Revolution was marked by technological advancements that laid foundational technologies for modern industry. Both periods saw significant developments in physics and engineering.",Industrial Revolution,0,0,0.07142857142857142,,judge-stub/unwired,16,68,3.017235371999959,1,0.0,0.0002933423278333293,3026.070973001879,8.835601001919713,3017.235371999959,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:20.564645+00:00,measured,measured,0.0,0
17,f87dbc2021f68e3b368992da88f86b4a0fb06c1e6ca485eff1ee600372b83673,1,hotpotqa:0005,L0,v1,Qwen/Qwen2.5-1.5B-Instruct,Electricity.,Industrial Revolution,0,0,0.0,,judge-stub/unwired,16,2,0.13004821999948035,1,0.0,1.2643576944393923e-05,134.26170699403883,4.21348699455848,130.04821999948035,0.0,19e1267e270fb26a4e6da10a2e33f407c4cde82d,7fdc85f695827cd40610ae43ca440f13cb399989fda72657811baf795f8607dc,2026-09-19T13:51:20.951779+00:00,measured,measured,0.0,0
